"Line Number","Product Part","Product Name","Start Date","End Date","Net Unit Price","Max Quantity","UOM","Net Unit Price UOM","Active"
"1.144","B88317","Oracle Cloud Infrastructure - Compute - Virtual Machine Standard - X5 - OCPU Per Hour","10-01-2020","09-30-2025",0.03440000,,"OCPU PER HOUR","Monthly","true"
"1.175","B88318","Oracle Cloud Infrastructure - Compute - Windows OS - OCPU Per Hour","10-01-2020","09-30-2025",0.08260000,,"OCPU PER HOUR","Monthly","true"
"1.123","B88319","Oracle Cloud Infrastructure - 100 Mbps Load Balancer - Load Balancer Hour","10-01-2020","09-30-2025",0.01150000,,"LOAD BALANCER HOUR","Monthly","true"
"1.145","B88320","Oracle Cloud Infrastructure - 400 Mbps Load Balancer - Load Balancer Hour","10-01-2020","09-30-2025",0.04580000,,"LOAD BALANCER HOUR","Monthly","true"
"1.124","B88321","Oracle Cloud Infrastructure - 8000 Mbps Load Balancer - Load Balancer Hour","10-01-2020","09-30-2025",0.91610000,,"LOAD BALANCER HOUR","Monthly","true"
"1.227","B88322","Oracle Cloud Infrastructure - Block Volume - Gigabyte Storage Capacity per Month","10-01-2020","09-30-2025",0.02290000,,"GB STORAGE CAP PER MO","Monthly","true"
"1.226","B88325","Oracle Cloud Infrastructure - FastConnect 1 Gbps - Port Hour","10-01-2020","09-30-2025",0.11450000,,"PORT HOUR","Monthly","true"
"1.065","B88326","Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","10-01-2020","09-30-2025",0.68710000,,"PORT HOUR","Monthly","true"
"1.176","B88327","Oracle Cloud Infrastructure - Outbound Data Transfer - Originating in North America, Europe, and UK - Gigabyte Outbound Data Transfer Per Month","10-01-2020","12-31-2999",0.00000000,10240,"GB OUTBOUND DATA TX MO","Monthly","true"
"1.176","B88327","Oracle Cloud Infrastructure - Outbound Data Transfer - Originating in North America, Europe, and UK - Gigabyte Outbound Data Transfer Per Month","10-01-2020","12-31-2999",0.00460000,999999999999999,"GB OUTBOUND DATA TX MO","Monthly","true"
"1.146","B88328","Oracle Cloud Infrastructure - Database Enterprise Edition - Additional Capacity - OCPU Per Hour","10-01-2020","09-30-2025",0.28970000,,"OCPU PER HOUR","Monthly","true"
"1.147","B88329","Oracle Cloud Infrastructure - Database Enterprise Edition High Performance - Additional Capacity - OCPU Per Hour","10-01-2020","09-30-2025",0.59750000,,"OCPU PER HOUR","Monthly","true"
"1.125","B88330","Oracle Cloud Infrastructure - Database Enterprise Edition Extreme Performance - Additional Capacity - OCPU Per Hour","10-01-2020","09-30-2025",0.90530000,,"OCPU PER HOUR","Monthly","true"
"1.109","B88331","Oracle Cloud Infrastructure - Database Standard Edition - Additional Capacity - OCPU Per Hour","10-01-2020","09-30-2025",0.14480000,,"OCPU PER HOUR","Monthly","true"
"1.087","B88398","Oracle GoldenGate Cloud Service - Enterprise - BYOL - OCPU Per Hour","10-01-2020","09-30-2025",0.10430000,,"OCPU PER HOUR","Monthly","true"
